Title,Transaction Date,Acquired_Disposed,Amount,Price
AMAZON COM INC,05/13/2025,D,"134,545",N/A
AMAZON COM INC,05/14/2025,D,"474,857",N/A
AMAZON COM INC,05/12/2025,D,"1,000",$210.68
AMAZON COM INC,05/01/2025,D,"2,500",$190.67
AMAZON COM INC,,,,
AMAZON COM INC,04/01/2025,D,"2,500",$187.99
AMAZON COM INC,,,,
AMAZON COM INC,03/03/2025,D,"2,500",$213.17
AMAZON COM INC,,,,
AMAZON COM INC,03/03/2025,D,"239,843",N/A
AMAZON COM INC,03/04/2025,D,"56,339",N/A
AMAZON COM INC,02/21/2025,A,"20,000",N/A
AMAZON COM INC,02/21/2025,A,"31,960",N/A
AMAZON COM INC,02/21/2025,D,"5,764",$219.0963(2)
AMAZON COM INC,02/21/2025,D,"3,652",$219.9148(3)
AMAZON COM INC,02/21/2025,D,"5,711",$220.9195(4)
AMAZON COM INC,02/21/2025,D,"3,200",$222.0959(5)
AMAZON COM INC,02/21/2025,D,"2,457",$222.8847(6)
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,02/21/2025,A,"12,660",N/A
AMAZON COM INC,02/21/2025,A,"2,600",N/A
AMAZON COM INC,02/21/2025,D,"1,704",$221.5184(2)
AMAZON COM INC,02/21/2025,D,"1,600",$222.31(3)
AMAZON COM INC,02/21/2025,D,"2,800",$223.1443(4)
AMAZON COM INC,,,,
AMAZON COM INC,02/21/2025,A,"11,380",N/A
AMAZON COM INC,02/21/2025,A,"3,240",N/A
AMAZON COM INC,02/21/2025,D,"14,620",$223.14
AMAZON COM INC,,,,
AMAZON COM INC,02/21/2025,A,"11,380",N/A
AMAZON COM INC,02/21/2025,A,"3,240",N/A
AMAZON COM INC,02/21/2025,D,"1,172",$218.9888(2)
AMAZON COM INC,02/21/2025,D,"1,140",$219.8217(3)
AMAZON COM INC,02/21/2025,D,"1,688",$220.8176(4)
AMAZON COM INC,02/21/2025,D,"1,614",$222.145(5)
AMAZON COM INC,02/21/2025,D,234,$223.1642(6)
AMAZON COM INC,02/24/2025,D,"19,212",$217.5
AMAZON COM INC,02/21/2025,A,"2,360",N/A
AMAZON COM INC,02/21/2025,A,340,N/A
AMAZON COM INC,02/21/2025,A,"2,771",N/A
AMAZON COM INC,02/21/2025,D,"1,933",$221.4221(2)
AMAZON COM INC,02/21/2025,D,"2,900",$222.2497(3)
AMAZON COM INC,02/21/2025,D,"4,000",$223.1435(4)
AMAZON COM INC,,,,
AMAZON COM INC,02/21/2025,D,"3,637",$219.046(2)
AMAZON COM INC,02/21/2025,D,"2,951",$219.8145(3)
AMAZON COM INC,02/21/2025,D,"4,188",$220.9106(4)
AMAZON COM INC,02/21/2025,D,"2,425",$222.0623(5)
AMAZON COM INC,02/21/2025,D,"2,039",$222.7926(6)
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,02/15/2025,A,"13,752",N/A
AMAZON COM INC,02/18/2025,D,"4,301",$228.3178(2)
AMAZON COM INC,02/18/2025,D,"1,200",$228.8975(3)
AMAZON COM INC,,,,
AMAZON COM INC,02/15/2025,A,"2,677",N/A
AMAZON COM INC,02/18/2025,D,"51,750",N/A
AMAZON COM INC,02/15/2025,A,"1,900",N/A
AMAZON COM INC,02/12/2025,D,599,$228.7398(2)
AMAZON COM INC,02/12/2025,D,"26,501",$230.2962(3)
AMAZON COM INC,02/12/2025,D,400,$230.6825(4)
AMAZON COM INC,,,,
AMAZON COM INC,12/09/2024,D,"4,351",$229.85
AMAZON COM INC,12/04/2024,D,"4,549",$219.85
AMAZON COM INC,12/02/2024,D,"3,500",$210
AMAZON COM INC,,,,
AMAZON COM INC,11/21/2024,A,"20,000",N/A
AMAZON COM INC,11/21/2024,A,"31,960",N/A
AMAZON COM INC,11/21/2024,D,622,$196.455(2)
AMAZON COM INC,11/21/2024,D,"1,127",$197.4142(3)
AMAZON COM INC,11/21/2024,D,"3,352",$198.4933(4)
AMAZON COM INC,11/21/2024,D,"1,182",$199.7573(5)
AMAZON COM INC,11/21/2024,D,"9,252",$200.6198(6)
AMAZON COM INC,11/21/2024,D,"4,149",$201.2717(7)
AMAZON COM INC,11/21/2024,D,"1,100",$202.7445(8)
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,11/21/2024,A,"12,660",N/A
AMAZON COM INC,11/21/2024,A,"2,600",N/A
AMAZON COM INC,11/21/2024,D,"1,511",$198.687(2)
AMAZON COM INC,11/21/2024,D,890,$199.8397(3)
AMAZON COM INC,11/21/2024,D,"3,077",$200.7201(4)
AMAZON COM INC,11/21/2024,D,526,$201.5578(5)
AMAZON COM INC,11/21/2024,D,100,$202.8
AMAZON COM INC,,,,
